our_id,title,book_title,type,journal,issn,publisher,book_publisher,public_url,doi,year,doi_duplicate,title_duplicate,doi_transformed,already_downloaded,journal_ok
38AFFB0F6AB52867D601F1A14A4F6415E79C4D5A,Ambiguous at the second sight: Mixed facial expressions trigger late electrophysiological responses linked to lower social impressions,,ARTICLE,"Cognitive, Affective and Behavioral Neuroscience",1530-7026,,,https://link.springer.com/article/10.3758%2Fs13415-020-00778-5,10.3758/s13415-020-00778-5,2020,TRUE,TRUE,10-3758_s13415-020-00778-5,FALSE,0
7066C3D6CCCE5918333CF4535F53C01C45BCD1DB,Małżeństwo w percepcji matek dzieci z zaburzeniami ze spektrum autyzmu,,ARTICLE,Annales Universitatis Paedagogicae Cracoviensis. Studia Psychologica,2084-5596,,,http://cejsh.icm.edu.pl/cejsh/element/bwmeta1.element.desklight-816c2668-cf41-4b5e-8a17-0d8f768feeca,10.24917/20845596.10.10,2017,FALSE,FALSE,10-24917_20845596-10-10,FALSE,0
1FCE9B3CD529C068A58886AE51A6F3BDF2EF619E,Perception of non-native phoneme contrasts in 8-13 months infants: tensor-based analysis of EEG signals,,ARTICLE,27th European Signal Processing Conference (EUSIPCO),2076-1465,,,https://ieeexplore.ieee.org/document/8903174,10.23919/eusipco.2019.8903174,2019,FALSE,FALSE,10-23919_eusipco-2019-8903174,TRUE,1
7066C3D6CCCE5918333CF4535F53C01C45BCD1DB,Jakość życia osób niepełnosprawnych,"Encyklopedia starości, starzenia się i niepełnosprawności",CHAPTER,,,,,http://bw.aps.edu.pl/info/article/APS80f47ac8b27c49898e8a7c8ee9675ba9/,,2017,FALSE,FALSE,,FALSE,0
CDF552E76FA79E8E57EA5D6AEBCB1842F6887732,Perception of non-native phoneme contrasts in 8-13 months infants: tensor-based analysis of EEG signals,,ARTICLE,27th European Signal Processing Conference (EUSIPCO),2076-1465,,,https://ieeexplore.ieee.org/document/8903174,10.23919/eusipco.2019.8903174,2019,FALSE,FALSE,10-23919_eusipco-2019-8903174,TRUE,1
7066C3D6CCCE5918333CF4535F53C01C45BCD1DB,Niepełnosprawność intelektualna. Poznawanie i wspieranie,,EDITED_BOOK,,,,Akademia Pedagogiki Specjalnej im. Marii Grzegorzewskiej wWarszawie,http://www.aps.edu.pl/wydawnictwo/wykaz-publikacji/zas%C4%99pa-e-niepe%C5%82nosprawno%C5%9B%C4%87-intelektualna/,,2020,FALSE,FALSE,,FALSE,0
7066C3D6CCCE5918333CF4535F53C01C45BCD1DB,Jakość życia człowieka w zdrowiu i w chorobie,,EDITED_BOOK,,,,Difin,https://ksiegarnia.difin.pl/jakosc-zycia-czlowieka-w-zdrowiu-i-w-chorobie,,2020,FALSE,FALSE,,FALSE,0
7066C3D6CCCE5918333CF4535F53C01C45BCD1DB,Dorosłość osoby z niepełnosprawnością intelektualną,Niepełnosprawność intelektualna. Poznawanie i wspieranie,CHAPTER,,,,,http://www.aps.edu.pl/media/2393906/zas%C4%99pa-spis-tre%C5%9Bci.pdf,,2020,FALSE,FALSE,,FALSE,0
7066C3D6CCCE5918333CF4535F53C01C45BCD1DB,Jakość życia osób chorujących na nieswoiste zapalenie jelit,Jakość życia człowieka w zdrowiu i w chorobie,CHAPTER,,,,,https://ksiegarnia.difin.pl/jakosc-zycia-czlowieka-w-zdrowiu-i-w-chorobie,,2020,FALSE,FALSE,,FALSE,0
7066C3D6CCCE5918333CF4535F53C01C45BCD1DB,Niepełnosprawność intelektualna,Psychologia kliniczna dzieci i młodzieży,CHAPTER,,,,,"https://ksiegarnia.pwn.pl/Psychologia-kliniczna-dzieci-i-mlodziezy,794765593,p.html",,2020,FALSE,FALSE,,FALSE,0
